Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #1,Fullmetal Alchemist: Brotherhood,9.17,"Genres: Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","Members 2,534,840",Type: TV,Episodes: 64,"Licensors: Funimation, Aniplex of America",Studios: Bones,Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2009,"Favorites: 180,194"
Ranked #2,Shingeki no Kyojin Season 3 Part 2,9.11,"Genres: Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power","Members 1,440,398",Type: TV,Episodes: 10,Licensors: Funimation,Studios: Wit Studio,Source: Manga,Duration: 23 min. per ep.,Premiered: Spring 2019,"Favorites: 41,251"
Ranked #3,Steins;Gate,9.1,"Genres: Sci-Fi, Psychological, Drama, Thriller","Members 1,988,573",Type: TV,Episodes: 24,Licensors: Funimation,Studios: White Fox,Source: Visual novel,Duration: 24 min. per ep.,Premiered: Spring 2011,"Favorites: 153,226"
Ranked #4,Fruits Basket: The Final,9.1,"Genres: Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","Members 219,428",Type: TV,Episodes: 13,Licensors: Funimation,Studios: TMS Entertainment,Source: Manga,Duration: 23 min. per ep.,Premiered: Spring 2021,"Favorites: 9,072"
Ranked #5,Gintama°,9.09,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 455,835",Type: TV,Episodes: 51,"Licensors: Funimation, Crunchyroll",Studios: Bandai Namco Pictures,Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2015,"Favorites: 11,740"
Ranked #6,Hunter x Hunter (2011),9.07,"Genres: Action, Adventure, Fantasy, Shounen, Super Power","Members 1,999,750",Type: TV,Episodes: 148,Licensors: VIZ Media,Studios: Madhouse,Source: Manga,Duration: 23 min. per ep.,Premiered: Fall 2011,"Favorites: 154,575"
Ranked #7,Ginga Eiyuu Densetsu,9.06,"Genres: Military, Sci-Fi, Space, Drama","Members 252,288",Type: OVA,Episodes: 110,Licensors: Sentai Filmworks,"Studios: K-Factory, Kitty Film Mitaka Studio",Source: Novel,Duration: 26 min. per ep.,Null,"Favorites: 13,243"
Ranked #8,Gintama',9.06,"Genres: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Members 406,132",Type: TV,Episodes: 51,"Licensors: None found, add some",Studios: Sunrise,Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2011,"Favorites: 6,090"
Ranked #9,Gintama': Enchousen,9.04,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 246,557",Type: TV,Episodes: 13,"Licensors: None found, add some",Studios: Sunrise,Source: Manga,Duration: 24 min. per ep.,Premiered: Fall 2012,"Favorites: 2,425"
Ranked #10,3-gatsu no Lion 2nd Season,8.99,"Genres: Drama, Game, Seinen, Slice of Life","Members 305,858",Type: TV,Episodes: 22,Licensors: Aniplex of America,Studios: Shaft,Source: Manga,Duration: 25 min. per ep.,Premiered: Fall 2017,"Favorites: 12,282"
Ranked #11,Gintama.,8.98,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 230,086",Type: TV,Episodes: 12,"Licensors: None found, add some",Studios: Bandai Namco Pictures,Source: Manga,Duration: 24 min. per ep.,Premiered: Winter 2017,"Favorites: 2,194"
Ranked #12,Koe no Katachi,8.98,"Genres: Drama, School, Shounen","Members 1,649,174",Type: Movie,Episodes: 1,"Licensors: Eleven Arts, NYAV Post",Studios: Kyoto Animation,Source: Manga,Duration: 2 hr. 10 min.,Null,"Favorites: 62,989"
Ranked #13,Shingeki no Kyojin: The Final Season,8.97,"Genres: Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","Members 1,197,276",Type: TV,Episodes: 16,Licensors: Funimation,Studios: MAPPA,Source: Manga,Duration: 23 min. per ep.,Premiered: Winter 2021,"Favorites: 45,630"
Ranked #14,Clannad: After Story,8.95,"Genres: Slice of Life, Comedy, Supernatural, Drama, Romance","Members 988,243",Type: TV,Episodes: 24,Licensors: Sentai Filmworks,Studios: Kyoto Animation,Source: Visual novel,Duration: 24 min. per ep.,Premiered: Fall 2008,"Favorites: 61,824"
Ranked #15,Gintama,8.95,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 839,036",Type: TV,Episodes: 201,"Licensors: Sentai Filmworks, Crunchyroll",Studios: Sunrise,Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2006,"Favorites: 48,648"
Ranked #16,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,"Genres: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Members 185,993",Type: Movie,Episodes: 1,"Licensors: None found, add some",Studios: Sunrise,Source: Manga,Duration: 1 hr. 50 min.,Null,"Favorites: 1,862"
Ranked #17,Kimi no Na wa.,8.92,"Genres: Romance, Supernatural, School, Drama","Members 2,025,638",Type: Movie,Episodes: 1,"Licensors: Funimation, NYAV Post",Studios: CoMix Wave Films,Source: Original,Duration: 1 hr. 46 min.,Null,"Favorites: 71,893"
Ranked #18,Owarimonogatari 2nd Season,8.92,"Genres: Mystery, Comedy, Supernatural, Vampire","Members 306,185",Type: TV,Episodes: 7,Licensors: Aniplex of America,Studios: Shaft,Source: Light novel,Duration: 22 min. per ep.,Premiered: Summer 2017,"Favorites: 6,796"
Ranked #19,Code Geass: Hangyaku no Lelouch R2,8.91,"Genres: Action, Military, Sci-Fi, Super Power, Drama, Mecha","Members 1,402,298",Type: TV,Episodes: 25,"Licensors: Funimation, Bandai Entertainment",Studios: Sunrise,Source: Original,Duration: 24 min. per ep.,Premiered: Spring 2008,"Favorites: 64,176"
Ranked #20,Shiguang Dailiren,8.89,"Genres: Super Power, Drama, Fantasy","Members 49,829",Type: ONA,Episodes: 11,Licensors: Funimation,Studios: Haoliners Animation League,Source: Original,Duration: 23 min. per ep.,Null,"Favorites: 1,349"
Ranked #21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.87,"Genres: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","Members 134,601",Type: TV,Episodes: 14,"Licensors: None found, add some",Studios: Bandai Namco Pictures,Source: Manga,Duration: 24 min. per ep.,Premiered: Summer 2018,Favorites: 840
Ranked #22,Violet Evergarden Movie,8.85,"Genres: Slice of Life, Drama, Fantasy","Members 276,925",Type: Movie,Episodes: 1,Licensors: Funimation,Studios: Kyoto Animation,Source: Light novel,Duration: 2 hr. 20 min.,Null,"Favorites: 2,098"
Ranked #23,Gintama: The Final,8.84,"Genres: Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen","Members 49,042",Type: Movie,Episodes: 1,Licensors: Eleven Arts,Studios: Bandai Namco Pictures,Source: Manga,Duration: 1 hr. 44 min.,Null,"Favorites: 1,020"
Ranked #24,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.82,"Genres: Comedy, Sports, Drama, School, Shounen","Members 870,275",Type: TV,Episodes: 10,Licensors: Sentai Filmworks,Studios: Production I.G,Source: Manga,Duration: 24 min. per ep.,Premiered: Fall 2016,"Favorites: 12,780"
Ranked #25,Mob Psycho 100 II,8.82,"Genres: Action, Slice of Life, Comedy, Supernatural","Members 1,009,224",Type: TV,Episodes: 13,Licensors: Funimation,Studios: Bones,Source: Web manga,Duration: 24 min. per ep.,Premiered: Winter 2019,"Favorites: 22,801"
Ranked #26,Gintama.: Shirogane no Tamashii-hen,8.81,"Genres: Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","Members 147,803",Type: TV,Episodes: 12,"Licensors: None found, add some",Studios: Bandai Namco Pictures,Source: Manga,Duration: 24 min. per ep.,Premiered: Winter 2018,Favorites: 938
Ranked #27,Kizumonogatari III: Reiketsu-hen,8.81,"Genres: Action, Mystery, Supernatural, Vampire","Members 350,977",Type: Movie,Episodes: 1,Licensors: Aniplex of America,Studios: Shaft,Source: Light novel,Duration: 1 hr. 23 min.,Null,"Favorites: 5,555"
Ranked #28,Odd Taxi,8.8,Genres: Mystery,"Members 128,979",Type: TV,Episodes: 13,"Licensors: None found, add some","Studios: OLM, P.I.C.S.",Source: Original,Duration: 23 min. per ep.,Premiered: Spring 2021,"Favorites: 2,254"
Ranked #29,Sen to Chihiro no Kamikakushi,8.8,"Genres: Adventure, Supernatural, Drama","Members 1,411,645",Type: Movie,Episodes: 1,"Licensors: Walt Disney Studios, GKIDS",Studios: Studio Ghibli,Source: Original,Duration: 2 hr. 4 min.,Null,"Favorites: 24,631"
Ranked #30,Monster,8.79,"Genres: Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","Members 712,901",Type: TV,Episodes: 74,Licensors: VIZ Media,Studios: Madhouse,Source: Manga,Duration: 24 min. per ep.,Premiered: Spring 2004,"Favorites: 30,135"
Ranked #31,Monogatari Series: Second Season,8.78,"Genres: Mystery, Comedy, Supernatural, Romance, Vampire","Members 553,595",Type: TV,Episodes: 26,Licensors: Aniplex of America,Studios: Shaft,Source: Light novel,Duration: 24 min. per ep.,Premiered: Summer 2013,"Favorites: 20,555"
Ranked #32,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.78,"Genres: Action, Supernatural, Magic, Fantasy","Members 199,001",Type: Movie,Episodes: 1,Licensors: Aniplex of America,Studios: ufotable,Source: Visual novel,Duration: 2 hr. 2 min.,Null,"Favorites: 4,617"
Ranked #33,Cowboy Bebop,8.77,"Genres: Action, Adventure, Comedy, Drama, Sci-Fi, Space","Members 1,399,263",Type: TV,Episodes: 26,"Licensors: Funimation, Bandai Entertainment",Studios: Sunrise,Source: Original,Duration: 24 min. per ep.,Premiered: Spring 1998,"Favorites: 61,420"
Ranked #34,Jujutsu Kaisen (TV),8.77,"Genres: Action, Demons, Supernatural, School, Shounen","Members 1,296,373",Type: TV,Episodes: 24,"Licensors: None found, add some",Studios: MAPPA,Source: Manga,Duration: 23 min. per ep.,Premiered: Fall 2020,"Favorites: 47,539"
